Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Japan,2546408.186269429,2437563.6456135297,2354137.024970092,2348703.083343629,2630190.913993189,2640283.2101916536,2575421.5367748626,2502444.6493814765,2565078.78789422,2625338.710808784,2615453.739873426,2630904.486326328
China,14020511.159516688,13492810.09350773,13607184.332077092,14102577.028481834,16421166.35166948,17512146.700607873,19249708.13891997,20356559.63363503,22730693.07937244,23382388.965574745,24975250.161581527,26031113.19567076
Democratic People's Republic of Korea,12971.571009196836,9599.758464451765,7832.338387566484,8895.950706612284,13089.111295715846,11909.958632322912,12690.872380431903,15055.903117704347,18851.25957149665,19748.641240534693,27629.666129664227,35424.814511903605
Cambodia,21364.982980192763,18004.372610533883,20050.198944463336,22447.272046989685,28015.808789541752,32799.43925954876,43063.82447569629,49372.22523174924,59084.662647459474,66956.57616629766,79233.81890501163,87057.7527166017
Brunei Darussalam,38673.864541408126,45355.0542269752,48417.00596120349,40232.09774690607,43281.30556570045,39943.30168582071,43297.59206964001,44847.13335331069,28381.069381551188,38875.69837327226,39903.015058137615,39647.44018689183
Timor-Leste,4788.387809893022,4310.564014104728,4660.573036249044,4126.687708623216,5528.2792590494855,5940.355928249102,5941.97551263655,7042.261913292024,5672.528393860278,4533.52105543713,5340.992786690302,5685.926076278034
Myanmar,104291.2932584784,111632.54765167808,121973.69549341813,123425.80027754536,162519.38466941356,189609.47831005804,211804.9268801772,241236.8578455833,264332.1714138444,230177.15283015085,218428.60847519932,211303.435144892
Lao People's Democratic Republic,31442.94492564269,32323.00488671163,37214.38500527625,36037.73886102125,47382.44660050404,48037.71950693255,46661.43894867723,51556.95863489815,55576.3479893661,55635.69195780202,68458.32212430815,76931.76180845116
Philippines,210876.1375112492,226995.18473918547,248145.60680722372,254018.98764481512,279093.65490345587,314306.3153396425,326484.3982240733,338430.5207254408,350749.841532578,374192.50646939327,435613.3859629132,491971.9389235566
Indonesia,1107798.128877472,1183192.7619336778,1314682.0894178755,1355351.905815725,1497271.452575781,1698876.7077692137,1778729.4284301235,1812127.386850007,1975861.8420854183,2002032.2109138323,2347907.2749713403,2468420.523921412
Singapore,108221.19209553492,114648.65909685344,111944.66475975468,116045.25598775176,116164.67477797248,119817.92036013794,120320.77478037257,121076.86460253586,114258.3551289428,106350.39565059054,112398.89834987324,115042.30964528158
Vietnam,1054716.3209426522,1055479.101986703,1310184.3353067385,1165190.909665765,1444242.2485523438,1965903.9413209108,2032567.3410933588,1792641.375342399,1967282.084352336,1599928.8013115432,1612607.5455213846,1674009.4316754444
Malaysia,867078.0112563258,953897.313338705,964087.724672086,1041249.1680280172,1118557.698777886,1216097.4557857893,1250667.090997426,1257821.0850910365,1264205.1645981704,1242562.7343285952,1326927.3658598026,1400723.5111696185
Thailand,1094103.845890486,1155195.4564488064,1267669.5624479116,1314661.9249331623,1529148.6148339603,1600946.6033368714,1678964.079807539,1791902.124697683,2010721.102643545,2163986.0488165105,2437247.898680381,2681687.643659204
Iran (Islamic Republic of),4829556.028667367,5305642.709221645,5405771.695691262,6628532.66889031,7501127.563422758,7101777.155513341,6393229.645233174,6343835.214955432,7102337.990113594,7806509.386515233,8838513.553321395,9266429.893231602
Sri Lanka,47141.11132636916,51078.79051123168,57597.97817069572,59507.45736081711,70719.15287922531,74696.2787633967,83705.14352437398,88856.37555511808,94170.03009433168,86586.82870101988,86579.47996918166,88212.73158339314
Afghanistan,92792.3137739902,82986.99387927278,73424.70666706203,71253.36784458338,81674.8094512361,78657.42610803967,79189.90688159922,85294.70644335187,75310.85621539493,59408.14102248398,73049.50202283649,89255.3659777203
India,7639274.04940462,7777323.094146517,8333293.4810142545,8341474.856812167,9909928.934744082,10290211.66682522,10570745.59044232,10927469.116085758,11367085.695542986,12388747.320083337,13860783.50414366,14873555.432587655
Bhutan,7439.574739238153,7126.989525088553,7903.083508467733,6933.538061294523,7601.016446137135,7951.994116847304,7798.799163145469,7642.915197348478,7708.291359031551,9199.4800718491,11788.189644457543,13072.753213051135
Bangladesh,168900.73155565912,165847.1376519206,184954.4517630617,170154.60911601657,218354.2429158124,228084.85259571447,233675.6003944504,247379.78792964172,272756.65543899656,290354.65338795126,298070.4082883275,340208.39862903144
Pakistan,863330.4499860513,750989.1886386012,758116.536503863,810432.7583931483,1037603.844872823,1056116.0808153031,1037869.2582768276,1047511.5143123728,1139362.6986341728,1157824.1639492027,1238275.7649570194,1265008.375298986
Maldives,106.79115311816042,119.93571795011852,128.92881256216296,169.93714819702447,206.3666281568069,206.07293329501857,221.42617224273715,213.709390373674,253.3244544433612,314.3544294679866,397.6341492982472,402.2349958630168
Nepal,29753.68645269704,30683.442301254585,33556.37792696577,33797.03352318234,42415.10941215664,45658.258263166565,50597.91312037279,62886.315922006776,77448.10498852565,92308.6540997622,124294.84200062182,141465.4821289499
Cyprus,92643.99120910338,92832.83932729218,93438.80931537088,95673.52947580168,102898.614167798,105078.10103636138,99539.71406947444,94372.1959986416,96413.55813819624,91669.9614038889,99361.31174949808,104944.91665594872
Yemen,343658.4332875731,323655.33851053705,126573.05505008492,94943.22932303816,122219.73427368408,140574.48760296815,177192.3918070026,187014.0136166803,211859.611808326,187943.376574666,165713.08617857288,155014.2608222873
Georgia,120310.19660915955,111770.9335499298,108111.81674108084,112433.16019287912,127191.12317486112,124793.37844087688,136734.82804904215,149949.1813202269,164197.17369793425,177196.1334478823,196939.3398449354,226655.1780447229
Kuwait,628418.0222959106,689802.6042575889,639996.1983691558,701282.0963868932,665153.3465469141,716780.4296613922,699662.5871252301,699297.1647943403,704040.2279382396,696243.38781421,748175.4400712996,761771.6323755204
United Arab Emirates,1249336.809526714,1295767.7377416813,1327170.5988888266,1285830.1341380049,1296551.6826093784,1358724.993620627,1418161.0497199614,1433432.4260847662,1529463.588170567,1612976.9094391835,1681143.1907784403,1748539.798992765
Syrian Arab Republic,303204.0789370547,222621.7056339097,186761.56405664043,222274.85846063565,353118.3644840482,256942.26335422185,319164.98915529926,306616.4187100702,279601.37321108766,264337.4188451868,278483.6414171652,307716.3223917388
