Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Costa Rica,68622.49908982455,69533.77763059692,78435.90393022729,66650.4511821965,105912.4966992092,108993.33062491476,101177.86030006368,98301.23678892716,119233.72203823076,102192.00715220814,116888.33184692312,119467.73267110367
Panama,21376.1932660142,15184.198354715492,36812.27911561945,18233.13857760428,79781.20472798806,94909.19956723684,79559.53186383487,81745.73578304784,111089.88409392344,94525.98790679498,123316.4333256948,116976.86564665168
El Salvador,24629.892822822203,21804.46240489649,32256.718913833647,23350.05384871269,42795.896594416685,45917.4240081593,42265.87599081253,41098.03332769682,51674.26256260427,41286.84297565817,49459.75906457043,55117.676348703615
Mexico,2230251.9742224584,2187279.064619265,2110819.2767757624,1991023.8914737147,3404048.956966517,3879403.903538933,3444165.077817834,3003138.718991155,4713963.532788934,4128932.330800856,5506846.790715644,5554012.382325864
Canada,27381598.53903312,22926246.267190177,31689019.558764324,25063810.87414727,43326589.2079755,33316726.521852985,35317830.81521081,32184405.97324452,36670130.77622389,39680625.40224049,36749201.93347582,37561166.73135774
United States of America,36311355.9723552,35504599.04594,35165998.01750105,31378079.446842827,43873163.03951161,40054199.59847762,41552330.23447874,39915781.7352131,43935972.00156234,44541923.671835296,50290643.62479305,49520520.27386872
Suriname,-45639.72417896875,-84868.110118264,-32512.8330416274,-82829.99001222842,22796.52611434777,58242.08707889052,27376.22454235449,43344.16675156893,86578.24743174585,86059.77852268118,89616.02712290495,114160.39812641396
Peru,-289097.74786123564,-571899.9857140883,-406736.1406243822,-381073.3260588246,506094.2430840229,660936.5167560917,415346.0140619635,676241.4278810994,967037.5004500486,514025.1560718839,1049143.6027100594,995896.2830207788
Paraguay,93874.60200285156,71005.2636062388,51183.18293656143,68525.8819653599,396189.2854086424,390300.4822918256,290173.97568051214,461808.0615298323,572246.2768836108,345557.28377539554,702925.8352269833,689023.3340325669
Colombia,53773.95255829811,-316587.4948568398,134409.0269045968,-112995.50437789218,746138.8925186936,908851.9689792304,641031.8774580602,725456.111326221,1129729.5384053113,834326.3770814697,1143602.5463351505,1173973.8940802077
Guyana,-78923.91664022084,-151315.1693331124,-75294.84191557477,-130544.72328764365,23787.49416813196,57256.09575177214,16658.294292752584,40551.03899277296,106402.57997789726,117897.17600431512,131481.25199874202,149535.38656499443
Venezuela,1272188.7912271137,1299058.2960149655,1371021.209976355,1073495.000711268,1362939.074499071,1458887.2628404624,1383455.4820266282,1105137.330557018,1588794.2928457535,1284358.6865541458,1662343.3695852938,1730736.7873526649
Uruguay,128809.95070906526,104371.95952413608,90528.55461186708,70187.18990576759,248843.9152726773,221849.54946788485,239557.61785894312,237728.03894648736,297661.85686845647,238937.60012407537,343783.651416082,377989.3609709512
Argentina,1960397.8431237144,1435469.9599217726,1393023.5843719528,937440.3184627768,3912258.609417343,3782925.89326645,3546115.3476162106,3848893.2579148593,4339578.307736723,4136053.971241016,5263101.356320778,5536665.075119396
Chile,337966.7350497715,187842.9526229404,86825.66017031277,87849.61402922726,833674.0459737969,852033.157479548,778933.7075497922,862176.3405080456,1078264.9631966285,990844.3532780536,1283849.094177742,1402111.2855311078
Brazil,1628391.0186016392,759755.6105282812,1062968.9662277922,1020256.5290192048,7467676.9303701455,8131516.045259655,6702374.06795584,8461413.389127035,10676344.081815112,6917588.2332184175,10936271.7836011,11743893.87173272
Bolivia,-366346.4112289936,-398894.8898747251,-406614.3972289522,-395039.1908175229,422032.40470094426,463006.0472100211,282581.8747154197,505846.1622368417,826566.4665400515,582404.7275895029,902740.2208871394,906853.5057338546
Ecuador,165981.1990166008,143421.29927100675,231068.08985538257,195672.422847654,399412.4168516417,449601.3650932632,413420.63971736224,410744.79734471935,567697.0743107672,336812.52262976504,518400.31833482895,491270.5442090625
Uzbekistan,478910.5882622994,207221.7783575809,111859.42561613364,84217.00740468266,574684.9323239896,586625.8385483141,643732.471771168,722665.4081537669,964510.8411884896,824172.0007600671,1139927.36006608,1151224.9988349346
Kazakhstan,2414905.92075914,-229549.47376276963,-74554.03084132436,-341319.7663292176,3900574.813117028,3533866.017003201,3756899.051667726,2484698.5613578674,4078751.035137819,4081343.992602384,4665074.895853789,5688882.400918899
Kyrgyzstan,141910.7714542486,57502.08447252156,-23283.11535464764,-24580.15021455822,215633.78372747745,196990.0516462692,228637.9405280068,324109.14869983395,372902.8947117463,334505.2565289646,432391.0729508933,440804.3978053965
Tajikistan,77009.06585568773,38017.83713452687,8763.634168355784,4681.923421133966,166383.75475340354,164230.42878194517,167246.97279086726,211175.838586016,226700.810939392,240079.1783316485,288072.89401660586,276154.0305466284
Turkmenistan,566124.8555097813,339572.60000640043,193456.45017786545,212095.6618193336,785635.7649081935,762344.6854454272,748064.6704354571,784406.2687688639,1067911.2425808115,834668.2870961607,1294036.5594235784,1293600.685479592
Mongolia,649415.3858919614,-753636.0125261664,-593125.4278408512,-643735.1376177577,1295663.247028296,1240772.0263556144,1468357.9943473598,1016921.3145913424,1813443.8634346924,1686805.5225235564,2112939.785329823,2633562.9559979914
Republic of Korea,1160359.1021083388,1021953.983699358,1023283.834035233,1061019.18999532,1221587.3140096855,1355254.6922478322,1384280.121837059,1276915.2642076912,1398851.4923425014,1355833.21469372,1384764.4849322469,1393100.317421419
Japan,1809205.1278542704,1459757.05113524,1563008.092508335,1527504.2825231685,1956809.3452487648,1965484.8220706813,2042847.0142382504,1851490.76754848,2046393.8411892648,1700222.057386052,2220968.468391105,2235414.8739205906
China,9942433.30293128,6088404.746420992,7643679.356515017,6409499.902300881,16714301.991221318,17378865.714075867,18031146.795919742,17911251.468331363,23822272.66041717,23187203.653378777,27234060.18806728,27602489.223168086
Democratic People's Republic of Korea,26050.047348621178,-81270.65005830128,-49054.70836247811,-57782.519941651466,82926.76165347248,68393.55580096241,77587.94393484497,87415.74851830598,137557.0442943865,126786.53907354924,156142.9649719005,186920.6338752732
Cambodia,-77661.11190502148,-141477.56407057482,-22693.46485137808,-109052.25049989251,39977.72448100035,35552.08841708652,20030.01391867351,48091.93014749634,149881.22293336736,140768.40585130997,174200.8884300946,150684.62474176884
Brunei Darussalam,33894.261562166444,27667.017616513705,31544.98016012476,26042.08929109241,33840.332519832664,31260.837349183937,31303.99742481287,31470.892378218403,25433.29815620617,21463.436112650143,23793.54252018882,25418.72762932736
Timor-Leste,-1798.798022664963,-7731.013430921537,-2034.3044152618545,-3672.302311511673,5879.378338465025,9015.91442298476,5112.690970892957,7419.788011664641,12132.830046550183,-780.969902115675,11818.207495491732,12754.479373422526
Myanmar,-152238.71377705672,-373332.4193526461,29795.351310778708,-301821.40890954644,243825.7985122481,285386.3089198364,153153.68004761,99174.13373002924,590184.1938797117,583763.0658014393,629304.9467460699,615557.5239134387
Lao People's Democratic Republic,-86671.66746803268,-164028.19439967987,-5880.297756818279,-126520.95414721756,61046.32365334441,62268.26683721223,6795.560715228199,20281.80622223914,168118.1835162923,168276.7009269647,200298.7251652612,189004.90269987503
Philippines,54560.62086814585,-61371.97498617442,100095.17217515528,13948.298865651872,220822.207663434,290452.77178027114,272610.7375496557,255416.88574532137,422741.28401718574,343665.0078427608,441332.8312668806,473821.9639714884
Indonesia,263579.6381335054,-25696.76439839026,758989.01415448,364005.1991615054,1767243.912938652,2082284.9522261955,1571020.9404049471,1809486.6940372293,2480498.804192429,1844787.9591036127,2674411.202912725,2662689.167193623
Singapore,98664.54600441594,92340.89446783627,76265.87938319647,93679.19446327449,92669.05046328004,99435.9198589512,96415.76723775304,96733.8461290906,95469.50113134948,71465.64072222477,86779.34774048843,82172.9432701742
Vietnam,549140.0999500364,85417.15322409746,333849.853229596,196817.15883670608,542691.7762974495,834472.0835348172,582810.2748716344,737860.4375689382,877696.9444968685,757643.6032534416,870813.1455395793,912277.8689041652
Malaysia,422900.6591581593,559745.060082747,637622.1867524813,645926.0478232164,926858.9606732826,1090223.7250030837,904695.6994513292,1007426.7598813896,1094457.5945088195,852626.9681376386,994765.0287255008,1071275.7154592562
Thailand,674111.3355817595,566078.1732375689,885531.4232706967,764665.0678352474,1242534.3583639178,1287438.7531501118,1301448.978267016,1383154.6548985348,1752169.0019503585,1517247.4719216651,1846615.0684953448,2015142.3151291995
Iran (Islamic Republic of),3036996.723301614,2740515.781915945,3228949.231719437,3217750.2130719894,5633666.2821856495,4830687.716511933,4828894.766632963,4663563.421936493,5984023.954622699,5795174.117970228,7082355.351813742,7469305.179255152
Sri Lanka,14347.170544922285,21650.40111462429,43487.1010351917,18840.71776974036,65255.99989334296,79784.20966991017,71579.38431707173,79522.44915102025,102368.57896728368,97018.06429322598,98171.537801899,100216.90128110096
Afghanistan,190723.04099259028,23251.571957714903,45458.31745961652,-1799.8898190110772,660310.8407534588,540716.7043741015,515204.3649308884,494106.97918423073,793066.214143351,602880.7515042593,938364.400255551,985874.9181515236
India,4184690.33985343,3826974.993714572,5205566.536800425,4496606.155519424,7007647.828231917,7706425.9686753955,7463561.315777631,7439992.186636719,9330466.312808665,9513337.679513391,10902047.81482912,10849333.552335477
Bhutan,484.0501757937229,-8037.62819528348,9866.623165783783,-8208.60784340554,20177.31605499123,22351.23423569539,17412.718106908076,1659.3491962190824,33990.92582446747,34353.461683526104,45061.731037395766,47732.3532003019
Bangladesh,113782.29695305906,91184.56512987026,148558.09667902312,110007.60220234738,225015.6145844298,255771.32266488345,231005.759387797,228754.23614571404,345480.796586751,294362.2595206592,356938.09516678605,363939.9671875378
Pakistan,490816.0167231458,324394.8477840992,517754.9087421915,367979.0525877568,1157029.7757143644,1140025.572761072,1057054.797581005,1012411.2651686856,1460214.4859368834,1497134.0429194565,1737120.5089107975,1610171.6696430976
Maldives,52.41288051683885,53.64093826834625,81.26557968891018,88.06989605935634,135.1671570626733,134.32499413289236,148.1218509530924,142.04822375651395,176.78519636179664,196.1062559467416,246.4812932725768,228.80356841712603
Nepal,12863.770437959018,-21158.971975065244,48370.65933693638,-13816.878346931737,113245.1962093138,108876.75839000948,101996.62365761524,73368.20718881272,176559.59989895715,188285.3494190937,243009.36451989028,254948.1322869427
Cyprus,66082.85170348341,70025.09982769791,71007.51325506355,69690.03584188165,84337.16275447235,84472.78652410887,79648.6609450541,72123.68371436808,78388.0597590969,72044.13557891775,82339.6876173978,85393.27620565293
Yemen,-13539.465173724406,-186404.43165734905,18231.536762136013,-217985.65882219432,149069.51480365323,203297.2950772404,127477.18857918034,137555.83107701904,338463.7326091697,414823.6727729696,419889.80269689584,410983.8933936939
Georgia,107332.86378526708,59301.89488046859,39884.66844105757,39578.91611667922,123276.73219558552,110050.92496106614,131962.33596119584,149296.12069276642,170973.02677300206,158356.8313389877,204439.2288038968,222451.1951308614
Kuwait,373629.6942873306,397801.06476449285,376683.79477197153,421035.9353917543,438710.11547349487,420223.0625302303,464770.5504034199,476346.1555552786,509659.14781587286,490621.0873461439,535507.4355733518,564408.2186569383
United Arab Emirates,929799.6163164782,949689.9983309668,988037.1422433757,949811.902282928,1002033.7518684856,1056827.9312999265,1118228.575052411,1103766.5515815862,1238070.8227371343,1205593.712129563,1330515.5107699083,1350136.46041696
Syrian Arab Republic,157173.85884768766,88865.41281931152,73451.77914394511,53162.389016123634,261222.84609465176,282540.1994814606,264481.1595759549,227872.20636902825,358572.8767736644,263213.3134506516,401246.2338798747,401330.42634166166
Oman,382269.8070496336,291299.07376705616,556532.8384478984,408041.315148475,679376.6627603957,686115.0434283823,644268.8138037988,526426.1569169788,705479.3720905916,674534.4428823469,816926.409301217,843100.1507259689
Bahrain,106298.71046425548,111269.18490141908,118760.76069976346,124653.8605995227,126184.13469582886,125987.55838448004,134918.5215842307,139717.17082528197,144494.5126226819,136394.83943015683,143969.6331481449,143092.43520186952
Azerbaijan,206338.4624595892,141886.97352743385,75851.75325488154,66605.30293908513,225579.2739595795,225242.93978403445,243294.49639916004,238287.58585439768,345835.7209016639,324929.9556707823,425395.88168938615,423247.6827973712
Armenia,31307.87860122287,17621.778770805373,2971.778228113162,-276.6041745415027,32946.01673298754,36602.11287374776,39726.06371734466,51985.99300543851,68348.70513444742,59660.50094932824,84481.2096861522,88045.14952117107
Turkey,2145130.7783793947,1953100.3328357115,1994271.3565125908,2190692.2575431108,3317317.385339879,3336167.385015659,3672648.9899437935,3938223.5135311135,4488313.026534226,3968270.16376865,4694106.599713018,4816884.733163908
